Cruise,Station,Date,Time,Distance,MMED,Species,AgeGp,Number,Length
41,051911WB14MESS01N,19-May-11,00-Jan-00,4.045019,No,Chinook salmon,yearling,1,141
41,051911WB14MESS01N,19-May-11,00-Jan-00,4.045019,No,Chinook salmon,yearling,1,155
41,051911WB14MESS01N,19-May-11,00-Jan-00,4.045019,No,Chinook salmon,yearling,1,169
41,051911WB14MESS01N,19-May-11,00-Jan-00,4.045019,No,Chinook salmon,yearling,1,180
41,051911WB14MESS01N,19-May-11,00-Jan-00,4.045019,No,Chum salmon,juvenile,1,79
41,051911WB14MESS01N,19-May-11,00-Jan-00,4.045019,No,Coho salmon,yearling,1,149
41,051911WB14MESS01N,19-May-11,00-Jan-00,4.045019,No,Coho salmon,yearling,1,154
41,051911WB14MESS01N,19-May-11,00-Jan-00,4.045019,No,Lingcod,,1,39
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,subyearling,1,117
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,yearling,1,137
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,yearling,1,144
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,yearling,1,150
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,yearling,1,156
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,yearling,1,162
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,yearling,1,174
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,yearling,1,177
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,yearling,1,185
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,yearling,1,188
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Chinook salmon,yearling,1,214
41,051911WB14MESS01Y,19-May-11,00-Jan-00,4.074413,Yes; Up,Coho salmon,yearling,1,171
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,California market squid,,1,
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,California market squid,,1,50
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,California market squid,,1,66
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Chinook salmon,yearling,1,131
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Chinook salmon,yearling,1,144
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Chinook salmon,yearling,1,151
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Chinook salmon,yearling,1,196
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,112
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,116
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,118
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,127
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,132
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,134
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,136
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,142
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,2,147
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,152
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,153
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,154
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,157
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,160
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,161
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,172
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,2,173
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Coho salmon,yearling,1,177
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Sockeye salmon,juvenile,1,120
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Sockeye salmon,juvenile,1,121
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Sockeye salmon,juvenile,1,129
41,051911WB14MESS02N,19-May-11,00-Jan-00,3.614638,No,Sockeye salmon,juvenile,2,131
41,051911WB14MESS02Y,19-May-11,00-Jan-00,4.058338,Yes; Up,Chinook salmon,subadult/adult,1,558
41,051911WB14MESS02Y,19-May-11,00-Jan-00,4.058338,Yes; Up,Chinook salmon,subadult/adult,1,705
41,051911WB14MESS02Y,19-May-11,00-Jan-00,4.058338,Yes; Up,Chinook salmon,yearling,1,144
41,051911WB14MESS02Y,19-May-11,00-Jan-00,4.058338,Yes; Up,Chinook salmon,yearling,1,178
41,051911WB14MESS02Y,19-May-11,00-Jan-00,4.058338,Yes; Up,Chinook salmon,yearling,1,218
41,051911WB14MESS03N,19-May-11,00-Jan-00,2.93869,No,Chinook salmon,mixed age juvenile,1,279
41,051911WB14MESS03N,19-May-11,00-Jan-00,2.93869,No,Chinook salmon,mixed age juvenile,1,291
41,051911WB14MESS03N,19-May-11,00-Jan-00,2.93869,No,Chinook salmon,mixed age juvenile,1,314
41,051911WB14MESS03N,19-May-11,00-Jan-00,2.93869,No,Chinook salmon,yearling,1,142
41,051911WB14MESS03N,19-May-11,00-Jan-00,2.93869,No,Chinook salmon,yearling,1,144
41,051911WB14MESS03N,19-May-11,00-Jan-00,2.93869,No,Chinook salmon,yearling,2,150
41,051911WB14MESS03N,19-May-11,00-Jan-00,2.93869,No,Chinook salmon,yearling,1,155
41,051911WB14MESS03N,19-May-11,00-Jan-00,2.93869,No,Chinook salmon,yearling,1,159
41,051911WB14MESS03N,19-May-11,00-Jan-00,2.93869,No,Chinook salmon,yearling,1,162
